Frequency (Hz) - V-in (PSD),Power (dB) - V-in (PSD)
1414,-45.3306
1415,-45.2697
1416,-45.0263
1417,-44.7823
1418,-45.1849
1419,-45.001
1420,-44.8871
1421,-45.5096
1422,-45.171
1423,-44.9835
1424,-45.2825
1425,-45.3594
1426,-45.5937
1427,-45.5024
1428,-45.3337
1429,-45.3793
1430,-45.3283
1431,-45.2642
1432,-45.2886
1433,-45.0416
1434,-45.3415
1435,-44.8056
1436,-45.2697
1437,-45.242
1438,-45.1618
1439,-45.3208
1440,-45.2853
1441,-45.3262
1442,-44.9382
1443,-44.9937
1444,-45.2333
1445,-45.1516
1446,-45.4142
1447,-45.1049
1448,-44.8182
1449,-44.8513
1450,-45.3481
1451,-45.3407
1452,-45.0208
1453,-45.1807
1454,-44.705
1455,-45.2147
1456,-45.326
1457,-45.0529
1458,-44.9499
1459,-45.5193
1460,-45.7233
1461,-45.3107
1462,-45.6511
1463,-44.9286
1464,-45.0285
1465,-45.3253
1466,-45.1959
1467,-44.8559
1468,-45.396
1469,-45.3367
1470,-44.9986
1471,-45.2987
1472,-44.9608
1473,-44.7328
1474,-45.3976
1475,-45.1167
1476,-44.992
1477,-45.2444
1478,-45.2308
1479,-44.9455
1480,-45.1882
1481,-45.3312
1482,-44.4877
1483,-45.1329
1484,-45.0976
1485,-45.4705
1486,-44.5993
1487,-44.4665
1488,-45.0698
1489,-45.5122
1490,-44.8398
1491,-45.2691
1492,-45.2853
1493,-45.1986
1494,-45.1321
1495,-45.2586
1496,-45.2107
1497,-45.2175
1498,-44.8879
1499,-45.0313
1500,-44.8689
1501,-45.1128
1502,-45.4586
1503,-45.0575
1504,-44.8536
1505,-45.187
1506,-44.7668
1507,-44.6659
1508,-45.2723
1509,-44.9416
1510,-45.6055
1511,-44.664
1512,-45.1705
1513,-45.2635
1514,-45.7489
1515,-44.9383
1516,-44.7234
1517,-44.6033
1518,-45.0164
1519,-45.4728
1520,-45.0619
1521,-45.208
1522,-45.0506
1523,-45.3543
1524,-45.2581
1525,-45.0861
1526,-45.4907
1527,-45.2157
1528,-44.4245
1529,-45.4036
1530,-44.6977
1531,-44.9046
1532,-44.7185
1533,-45.4184
1534,-45.3091
1535,-45.0456
1536,-44.9207
1537,-45.1622
1538,-44.8698
1539,-44.5989
1540,-44.8346
1541,-44.8787
1542,-45.2949
1543,-45.1954
1544,-44.4548
1545,-45.3853
1546,-44.8794
1547,-44.7394
1548,-44.7811
1549,-44.7915
1550,-44.9617
1551,-45.204
1552,-45.1362
1553,-44.8474
1554,-45.0143
1555,-45.1647
1556,-45.2
1557,-44.8591
1558,-44.9722
1559,-45.3315
1560,-45.2665
1561,-44.9373
1562,-44.7233
1563,-44.8923
1564,-44.9042
1565,-45.4142
1566,-45.3302
1567,-44.5952
1568,-45.1071
1569,-44.9704
1570,-44.6074
1571,-44.8576
1572,-44.9904
1573,-44.5512
1574,-44.8911
1575,-45.0568
1576,-45.0825
1577,-44.6536
1578,-44.9972
1579,-45.0628
1580,-44.6396
1581,-44.9532
1582,-44.6289
1583,-44.6704
1584,-45.4731
1585,-44.7035
1586,-45.0552
1587,-44.9861
1588,-44.9431
1589,-44.7408
1590,-44.9328
1591,-44.6703
1592,-44.9885
1593,-44.7367
1594,-44.987
1595,-44.8191
1596,-44.8476
1597,-45.0999
1598,-44.9644
1599,-44.8091
1600,-44.9778
1601,-44.667
1602,-44.8834
1603,-44.8746
1604,-45.1576
1605,-45.2486
1606,-44.9154
1607,-45.1555
1608,-45.4606
1609,-44.5217
1610,-45.0173
1611,-44.7329
1612,-44.9714
1613,-44.9648
1614,-44.5806
1615,-45.1864
1616,-45.2307
1617,-44.7993
1618,-44.6664
1619,-44.6947
1620,-45.2327
1621,-44.7948
1622,-45.0493
1623,-45.1824
1624,-44.9504
1625,-44.42
1626,-45.1667
1627,-44.7809
1628,-44.7659
1629,-44.8212
1630,-44.4599
1631,-44.6615
1632,-44.3785
1633,-44.1876
1634,-44.5067
1635,-44.3638
1636,-45.02
1637,-45.4329
1638,-44.6003
1639,-45.5449
1640,-45.0416
1641,-44.8485
1642,-44.5751
1643,-45.2284
1644,-45.1981
1645,-45.0154
1646,-45.1657
1647,-45.3296
1648,-45.081
1649,-45.2218
1650,-44.3533
1651,-45.1147
1652,-45.1583
1653,-44.472
1654,-45.1108
1655,-44.6512
1656,-44.8271
1657,-45.0262
1658,-44.299
1659,-44.2882
1660,-45.1319
1661,-44.9447
1662,-44.686
1663,-44.3199
1664,-45.0141
1665,-45.5295
1666,-44.719
1667,-44.9243
