Frequency (Hz) - V-in (PSD),Power (dB) - V-in (PSD)
1242,-43.8781
1243,-44.0033
1244,-44.4061
1245,-44.3683
1246,-44.5714
1247,-44.1755
1248,-44.2953
1249,-44.3743
1250,-44.4711
1251,-44.1331
1252,-44.1496
1253,-44.5598
1254,-43.8956
1255,-44.4009
1256,-43.954
1257,-44.6775
1258,-44.0016
1259,-43.9509
1260,-44.23
1261,-44.2926
1262,-44.5488
1263,-44.3071
1264,-44.3736
1265,-44.0523
1266,-43.828
1267,-44.0929
1268,-44.439
1269,-44.1257
1270,-44.3999
1271,-44.4441
1272,-44.0197
1273,-44.8049
1274,-44.8364
1275,-44.3559
1276,-43.922
1277,-43.8348
1278,-44.4428
1279,-44.1596
1280,-44.2976
1281,-44.2839
1282,-44.4762
1283,-44.6536
1284,-44.441
1285,-44.5893
1286,-44.3957
1287,-44.0273
1288,-44.4755
1289,-44.2622
1290,-44.3709
1291,-44.5921
1292,-43.926
1293,-45.0751
1294,-44.7307
1295,-44.7843
1296,-44.4836
1297,-44.2885
1298,-44.2144
1299,-44.193
1300,-44.345
1301,-44.954
1302,-44.358
1303,-44.5361
1304,-44.0729
1305,-44.0029
1306,-44.3293
1307,-44.7081
1308,-44.0538
1309,-44.4349
1310,-44.0348
1311,-44.3265
1312,-44.0521
1313,-44.2282
1314,-44.4256
1315,-44.649
1316,-44.0276
1317,-43.8292
1318,-44.2882
1319,-44.315
1320,-44.012
1321,-44.2134
1322,-44.1838
1323,-44.4885
1324,-44.1009
1325,-44.0125
1326,-44.2633
1327,-44.7781
1328,-44.5323
1329,-44.2086
1330,-44.2106
1331,-44.8356
1332,-44.2811
1333,-44.0101
1334,-44.364
1335,-43.8262
1336,-44.5247
1337,-43.9995
1338,-43.9322
1339,-44.4561
1340,-44.4378
1341,-44.1151
1342,-44.4696
1343,-44.4407
1344,-44.5562
1345,-44.514
1346,-44.3524
1347,-44.2609
1348,-44.4945
1349,-44.0468
1350,-44.3899
1351,-44.4689
1352,-44.4242
1353,-44.6514
1354,-44.0467
1355,-44.3697
1356,-44.4067
1357,-43.9719
1358,-44.0643
1359,-44.4215
1360,-44.0162
1361,-44.2978
1362,-44.1868
1363,-43.5745
1364,-44.3891
1365,-44.0931
1366,-44.3275
1367,-44.9447
1368,-44.1798
1369,-44.3104
1370,-44.2494
1371,-44.2741
1372,-44.2451
1373,-44.4732
1374,-44.1094
1375,-44.2378
1376,-44.4133
1377,-44.3797
1378,-43.843
1379,-44.2792
1380,-44.2291
1381,-44.7125
1382,-44.2356
1383,-44.5347
1384,-44.4747
1385,-43.9128
1386,-43.8169
1387,-44.24
1388,-44.0028
1389,-44.4736
1390,-44.6084
1391,-44.1745
1392,-44.2085
1393,-44.3075
1394,-44.6352
1395,-44.4159
1396,-44.667
1397,-44.2551
1398,-44.4526
1399,-44.4725
1400,-44.5509
1401,-44.3374
1402,-44.0996
1403,-44.0872
1404,-44.3849
1405,-44.2607
1406,-43.8327
1407,-44.5752
1408,-44.588
1409,-44.1893
1410,-44.5463
1411,-43.9891
1412,-44.4455
1413,-44.7136
1414,-44.702
1415,-44.1139
1416,-44.3041
1417,-44.3135
1418,-43.7612
1419,-44.6336
1420,-44.2575
1421,-43.9897
1422,-44.0706
1423,-44.8506
1424,-44.7637
1425,-44.3412
1426,-43.8537
1427,-44.3625
1428,-44.0838
1429,-44.2449
