Frequency (Hz) - V-in (PSD),Power (dB) - V-in (PSD)
1083,-53.2474
1084,-52.9166
1085,-53.4596
1086,-52.88
1087,-53.4696
1088,-53.3014
1089,-52.9044
1090,-53.4328
1091,-53.2971
1092,-52.7188
1093,-53.1623
1094,-53.0519
1095,-53.0287
1096,-53.1956
1097,-53.78
1098,-53.0481
1099,-53.0495
1100,-53.5603
1101,-53.614
1102,-52.9576
1103,-53.2498
1104,-52.9164
1105,-53.1365
1106,-52.8955
1107,-53.7929
1108,-53.3861
1109,-53.0488
1110,-53.2471
1111,-53.2529
1112,-52.9352
1113,-53.1779
1114,-53.0757
1115,-52.8984
1116,-52.6938
1117,-53.3625
1118,-53.2093
1119,-53.3434
1120,-53.1006
1121,-53.0978
1122,-52.9983
1123,-52.6413
1124,-53.1323
1125,-53.059
1126,-53.1134
1127,-52.9149
1128,-52.8708
1129,-53.5529
1130,-52.7167
1131,-53.0735
1132,-53.6999
1133,-53.2957
1134,-53.2363
1135,-53.0237
1136,-53.0325
1137,-52.7909
1138,-52.9084
1139,-53.4957
1140,-52.7617
1141,-53.6401
1142,-52.7308
1143,-52.8702
1144,-52.5846
1145,-52.7445
1146,-53.1044
1147,-53.6536
1148,-52.7995
1149,-52.6163
1150,-53.161
1151,-53.2573
1152,-53.2709
1153,-53.3513
1154,-53.7082
1155,-53.4169
1156,-53.3823
1157,-53.2207
1158,-53.2965
1159,-53.2209
1160,-53.6855
1161,-53.7032
1162,-53.0489
1163,-53.525
1164,-52.8235
1165,-52.6678
1166,-52.4903
1167,-53.0882
1168,-52.9279
1169,-53.2514
1170,-52.9732
1171,-52.9314
1172,-52.9248
1173,-53.18
1174,-52.7769
1175,-53.1403
1176,-52.8079
1177,-53.3532
1178,-52.7565
1179,-53.7622
1180,-52.8443
1181,-52.9641
1182,-52.7651
1183,-53.1846
1184,-52.8676
1185,-52.9174
1186,-52.8492
1187,-53.2451
1188,-53.0669
1189,-53.3723
1190,-52.6639
1191,-53.0448
1192,-53.2148
1193,-53.4647
1194,-53.1551
1195,-53.2844
1196,-53.1019
1197,-53.2437
1198,-53.0191
1199,-52.7373
1200,-52.853
1201,-53.3222
1202,-52.6566
1203,-52.9505
1204,-52.7464
1205,-52.6754
1206,-53.2274
1207,-52.7713
1208,-53.2798
1209,-52.941
1210,-52.6153
1211,-52.7105
1212,-52.7221
1213,-53.0324
1214,-52.6602
1215,-53.0634
1216,-52.5174
1217,-52.8146
1218,-53.2387
1219,-52.6915
1220,-53.0595
1221,-52.726
1222,-52.9405
1223,-52.7618
1224,-52.8163
1225,-52.7206
1226,-52.9133
1227,-52.5212
1228,-53.1525
1229,-52.8457
1230,-53.3129
1231,-52.9209
1232,-52.8283
1233,-53.3591
1234,-53.343
1235,-53.1882
1236,-52.6168
1237,-52.8581
1238,-53.1239
1239,-52.6537
1240,-53.2718
1241,-52.4794
1242,-52.6677
1243,-52.6868
1244,-52.8206
1245,-52.5548
1246,-52.9028
1247,-53.0431
1248,-52.7411
1249,-53.0498
1250,-52.8382
1251,-53.0375
1252,-52.9944
1253,-52.9425
1254,-52.9402
1255,-53.0634
1256,-53.0074
1257,-52.9338
1258,-52.8227
1259,-52.6571
1260,-52.9126
1261,-52.9889
1262,-52.8336
1263,-52.5177
1264,-52.8526
1265,-52.3693
1266,-52.676
1267,-52.9062
1268,-52.5332
1269,-52.382
1270,-52.8333
1271,-53.0966
1272,-52.9467
1273,-52.3528
1274,-52.947
1275,-52.9835
1276,-53.3547
1277,-52.85
1278,-52.4804
1279,-52.6587
1280,-52.4215
1281,-53.1836
1282,-52.5422
1283,-52.4313
1284,-52.7321
1285,-52.6491
1286,-52.4465
1287,-52.4597
1288,-52.5437
1289,-53.0618
1290,-52.5483
1291,-52.5965
1292,-52.795
1293,-52.332
1294,-52.8183
1295,-52.3049
1296,-52.9958
1297,-52.8539
1298,-52.6672
1299,-52.4572
1300,-52.4882
1301,-52.5501
1302,-52.7463
1303,-52.7733
1304,-52.8576
1305,-52.4112
1306,-52.1382
1307,-52.6968
1308,-52.7402
1309,-52.6459
1310,-52.4729
1311,-52.4245
1312,-52.2358
1313,-52.5552
1314,-52.8248
1315,-52.3364
1316,-52.7968
1317,-52.6025
1318,-53.0326
1319,-52.4781
1320,-52.9389
1321,-52.7405
1322,-52.5859
1323,-52.9102
1324,-52.7472
1325,-52.6942
1326,-52.1271
1327,-52.7185
1328,-52.6176
1329,-52.9207
1330,-52.9802
1331,-52.4471
1332,-52.6689
1333,-52.4699
1334,-52.7116
1335,-52.8939
1336,-52.7392
1337,-52.1157
1338,-52.6097
1339,-52.5371
1340,-52.743
1341,-52.2422
1342,-52.7755
1343,-52.2958
1344,-52.4837
1345,-52.5244
1346,-52.7713
1347,-52.6939
1348,-52.9872
1349,-52.3302
1350,-52.805
1351,-52.4517
1352,-52.4583
1353,-52.9533
1354,-52.0299
1355,-53.0465
1356,-52.0542
1357,-52.8343
1358,-52.2171
1359,-52.595
1360,-52.4446
1361,-52.2992
1362,-52.3502
1363,-52.7694
1364,-52.6934
1365,-52.3354
1366,-52.0193
1367,-52.5086
1368,-53.0852
1369,-52.6091
1370,-52.6084
1371,-53.2104
1372,-52.3644
1373,-52.4253
1374,-52.5558
1375,-52.7308
1376,-52.3948
1377,-52.8137
1378,-53.0102
1379,-52.2885
1380,-52.2829
1381,-52.5144
1382,-51.9762
1383,-52.3245
1384,-51.938
1385,-52.0555
1386,-52.3062
1387,-52.5945
1388,-51.9523
1389,-52.2579
1390,-52.182
1391,-52.6689
1392,-52.2865
1393,-52.7624
1394,-52.2009
1395,-52.3541
1396,-52.681
1397,-51.9846
1398,-52.935
1399,-52.138
1400,-52.7003
1401,-52.8185
1402,-52.4096
1403,-52.417
1404,-52.2405
1405,-52.1682
1406,-52.5148
1407,-52.2241
1408,-52.4494
1409,-52.3764
1410,-52.7731
1411,-52.2231
1412,-52.4713
1413,-52.0213
1414,-53.1972
1415,-52.1675
1416,-52.5428
1417,-52.3678
1418,-52.5524
1419,-52.4249
1420,-52.5663
1421,-52.1362
1422,-52.4424
1423,-52.6807
1424,-52.5592
1425,-52.3693
1426,-52.4101
1427,-52.1849
1428,-52.7034
1429,-52.9081
1430,-52.2513
1431,-52.5432
1432,-52.0077
1433,-52.2426
1434,-52.808
1435,-52.1595
1436,-52.1977
1437,-52.1198
1438,-52.2707
1439,-52.7021
1440,-52.2216
1441,-52.582
1442,-52.5498
1443,-52.3025
1444,-51.7297
1445,-52.019
1446,-52.0662
1447,-52.3241
1448,-52.0938
1449,-52.0543
1450,-51.896
1451,-52.1018
1452,-51.9654
1453,-52.0056
1454,-52.3023
1455,-52.352
1456,-51.9774
1457,-52.0847
1458,-52.1719
1459,-51.7244
1460,-51.8836
1461,-51.8281
1462,-52.2387
1463,-52.0859
1464,-52.7303
1465,-52.4244
1466,-52.304
1467,-52.1487
1468,-51.8281
1469,-52.1621
1470,-51.9947
1471,-52.0389
1472,-52.5537
1473,-52.0612
1474,-52.7927
1475,-52.1449
1476,-52.1967
1477,-52.4581
1478,-52.5364
1479,-52.3083
1480,-51.9238
1481,-52.2543
1482,-52.1605
1483,-52.1678
1484,-52.3915
1485,-52.262
1486,-52.5519
1487,-52.2606
1488,-51.8974
1489,-52.1839
1490,-52.0743
1491,-52.2924
1492,-52.1295
1493,-52.6722
1494,-51.7107
1495,-51.7349
1496,-51.9598
1497,-51.726
1498,-52.2542
1499,-51.6672
1500,-51.9538
1501,-52.2646
1502,-51.9478
1503,-51.7731
1504,-51.8242
1505,-52.2066
1506,-51.8348
1507,-51.651
1508,-52.3557
1509,-52.039
1510,-51.5976
1511,-51.8098
1512,-52.3826
1513,-51.8827
1514,-52.1199
1515,-52.1781
1516,-51.9985
1517,-51.904
1518,-51.9951
1519,-51.7767
1520,-51.8625
1521,-51.6269
1522,-51.7902
1523,-52.0589
1524,-52.0404
1525,-51.7264
1526,-51.7018
1527,-51.3287
1528,-51.4896
1529,-52.2222
1530,-52.2408
1531,-51.9347
1532,-51.7445
1533,-51.8626
1534,-51.7642
1535,-51.5313
1536,-52.0856
1537,-51.77
1538,-52.3227
1539,-52.0331
1540,-52.1026
1541,-51.2942
1542,-52.2985
1543,-52.0087
1544,-52.0509
1545,-51.7137
1546,-52.358
1547,-52.0606
1548,-52.0408
1549,-51.8845
1550,-51.5211
1551,-51.6601
1552,-51.6873
1553,-51.9452
1554,-51.8821
1555,-51.8677
1556,-52.0934
1557,-51.7933
1558,-51.8213
1559,-51.5438
1560,-51.6249
1561,-51.0372
1562,-51.6019
1563,-51.4098
1564,-51.8318
1565,-51.9636
1566,-51.3752
1567,-51.871
1568,-51.6845
1569,-51.716
1570,-51.3463
1571,-51.7069
1572,-51.1628
1573,-52.2809
1574,-51.9684
1575,-51.5055
1576,-51.8973
1577,-51.812
1578,-51.9076
1579,-51.3835
1580,-52.034
1581,-52.2607
1582,-51.928
1583,-51.7712
1584,-51.5639
1585,-51.6002
1586,-51.7992
1587,-51.5491
1588,-51.5923
1589,-51.5758
1590,-51.7003
1591,-51.7469
1592,-51.4929
1593,-51.8303
1594,-51.7179
1595,-51.1057
1596,-51.5253
1597,-51.5559
1598,-51.7678
1599,-51.8455
1600,-51.4256
1601,-51.5174
1602,-51.4389
1603,-51.845
1604,-51.8552
1605,-51.4921
1606,-51.1148
1607,-51.6553
1608,-52.0092
1609,-51.9097
1610,-50.8096
1611,-51.7323
1612,-51.6484
1613,-51.5698
1614,-51.1655
1615,-51.3325
1616,-51.2683
1617,-51.9622
1618,-51.2938
1619,-51.544
1620,-51.8013
1621,-51.5343
1622,-51.4478
1623,-51.585
1624,-51.6698
1625,-51.6411
1626,-51.7183
1627,-51.1204
1628,-51.3636
1629,-51.6614
1630,-51.3748
1631,-52.3031
1632,-51.1409
1633,-51.1143
1634,-51.4312
1635,-51.9338
1636,-51.2957
1637,-51.1264
1638,-51.8821
1639,-51.9349
1640,-51.5582
1641,-51.5523
1642,-51.3365
1643,-51.8481
1644,-50.8362
1645,-51.1751
1646,-52.1395
1647,-51.5654
1648,-51.4259
1649,-51.5023
1650,-51.7068
1651,-51.5816
1652,-51.5792
1653,-51.0009
1654,-51.4405
1655,-51.0756
1656,-51.9228
1657,-51.0096
1658,-51.1652
1659,-51.5113
1660,-51.6945
1661,-51.1734
1662,-50.8995
1663,-51.6413
1664,-51.7392
1665,-51.0984
1666,-51.6925
1667,-50.8764
1668,-51.1569
1669,-51.3634
1670,-51.1354
