Frequency (Hz) - V-in (PSD),Power (dB) - V-in (PSD)
1142,-65.6612
1143,-65.3184
1144,-65.3839
1145,-65.0439
1146,-65.7918
1147,-65.8441
1148,-65.1942
1149,-65.3026
1150,-65.9175
1151,-65.7467
1152,-65.7435
1153,-65.6553
1154,-65.3435
1155,-65.7328
1156,-65.756
1157,-65.7568
1158,-65.8588
1159,-65.864
1160,-66.0857
1161,-66.3091
1162,-65.6126
1163,-66.0593
1164,-65.5475
1165,-65.789
1166,-66.1791
1167,-66.1924
1168,-66.1165
1169,-66.2825
1170,-66.2697
1171,-65.6798
1172,-66.2137
1173,-65.6327
1174,-66.1903
1175,-65.9379
1176,-65.916
1177,-66.1089
1178,-65.9105
1179,-65.7458
1180,-65.6553
1181,-66.4935
1182,-65.9096
1183,-66.8517
1184,-66.0314
1185,-66.4282
1186,-66.4788
1187,-66.0203
1188,-66.3926
1189,-65.9088
1190,-66.0121
1191,-66.2474
1192,-65.7913
1193,-66.4423
1194,-66.6973
1195,-66.0757
1196,-66.5615
1197,-66.4947
1198,-66.6376
1199,-66.444
1200,-66.0813
1201,-65.8137
1202,-66.3297
1203,-66.2907
1204,-66.4318
1205,-66.3474
1206,-66.805
1207,-66.9381
1208,-66.2287
1209,-66.5739
1210,-66.5613
1211,-66.6761
1212,-66.4429
1213,-66.1212
1214,-66.638
1215,-66.8169
1216,-66.656
1217,-66.4249
1218,-66.4344
1219,-66.4321
1220,-66.591
1221,-66.1625
1222,-66.6755
1223,-66.9321
1224,-66.6154
1225,-66.7682
1226,-66.4709
1227,-66.2315
1228,-67.078
1229,-66.9681
1230,-66.7904
1231,-66.8193
1232,-66.3933
1233,-67.3787
1234,-66.9212
1235,-66.8804
1236,-66.8725
1237,-67.0778
1238,-67.4003
1239,-66.8278
1240,-66.8602
1241,-67.5682
1242,-66.7728
1243,-67.0539
1244,-66.7142
1245,-66.8816
1246,-67.3
1247,-66.7456
1248,-67.5079
1249,-67.1272
1250,-67.0709
1251,-67.2725
1252,-66.7712
1253,-66.7723
1254,-66.8891
1255,-67.0617
1256,-66.8988
1257,-66.9429
1258,-67.4022
1259,-67.1727
1260,-67.0089
1261,-67.0066
1262,-67.2744
1263,-67.4468
1264,-67.1672
1265,-67.0782
1266,-67.2277
1267,-67.3109
1268,-66.9851
1269,-66.8032
1270,-67.5171
1271,-67.442
1272,-67.0249
1273,-67.173
1274,-67.3188
1275,-67.5549
1276,-67.1577
1277,-67.3093
1278,-67.3191
1279,-67.5845
1280,-67.3738
1281,-67.6141
1282,-67.5579
1283,-67.538
1284,-67.5712
1285,-66.4433
1286,-67.6584
1287,-67.3692
1288,-67.904
1289,-67.9281
1290,-67.6553
1291,-67.7066
1292,-67.6674
1293,-67.5099
1294,-67.1753
1295,-67.8219
1296,-67.8973
1297,-67.8813
1298,-67.545
1299,-67.4018
1300,-67.6915
1301,-67.5829
1302,-67.637
1303,-68.0626
1304,-67.9942
1305,-67.7024
1306,-67.9674
1307,-67.9037
1308,-67.9323
