Frequency (Hz) - V-in (PSD),Power (dB) - V-in (PSD)
1027,-47.6703
1028,-47.4558
1029,-47.2907
1030,-47.6256
1031,-47.9352
1032,-47.3755
1033,-47.4788
1034,-47.3032
1035,-47.4811
1036,-47.5672
1037,-47.8304
1038,-47.7445
1039,-47.9712
1040,-47.5463
1041,-47.4703
1042,-47.4919
1043,-47.4026
1044,-47.679
1045,-47.8056
1046,-47.482
1047,-47.4573
1048,-47.8399
1049,-47.3898
1050,-47.5167
1051,-47.4522
1052,-47.8737
1053,-47.5852
1054,-47.5427
1055,-47.5046
1056,-47.4349
1057,-48.0718
1058,-47.3447
1059,-48.149
1060,-47.9739
1061,-48.5059
1062,-47.3291
1063,-48.1816
1064,-47.8418
1065,-47.9632
1066,-47.9287
1067,-47.7679
1068,-47.8653
1069,-47.7147
1070,-48.4806
1071,-47.6517
1072,-47.5263
1073,-47.6529
1074,-47.9662
1075,-48.4068
1076,-47.7373
1077,-47.9739
1078,-47.7238
1079,-47.9243
1080,-47.635
1081,-47.7933
1082,-47.397
1083,-47.8918
1084,-48.6254
1085,-48.0505
1086,-47.7508
1087,-48.2748
1088,-48.2702
1089,-47.5479
1090,-48.3343
1091,-48.3297
1092,-47.8777
1093,-47.626
1094,-48.282
1095,-47.677
1096,-48.5497
1097,-48.5266
1098,-48.9091
1099,-47.8391
1100,-48.3371
1101,-48.0083
1102,-48.8389
1103,-47.729
1104,-48.4255
1105,-48.4063
1106,-48.2257
1107,-48.1955
1108,-48.0298
1109,-48.0447
1110,-48.3091
1111,-48.1428
1112,-47.9143
1113,-47.9184
1114,-48.1888
1115,-48.2378
1116,-48.0902
1117,-48.6885
1118,-47.7642
1119,-48.2621
1120,-48.3418
1121,-48.404
1122,-48.5224
1123,-48.5564
1124,-48.0852
1125,-48.1611
1126,-48.2453
1127,-47.9685
1128,-48.8608
1129,-48.7719
1130,-48.4943
1131,-48.5898
1132,-48.2057
1133,-48.6197
1134,-47.9808
1135,-48.7016
1136,-48.2937
1137,-48.4061
1138,-48.6286
1139,-48.3313
1140,-48.276
1141,-48.3295
1142,-48.515
1143,-48.7713
1144,-48.7073
1145,-48.8407
1146,-48.4681
1147,-48.3611
1148,-48.3507
1149,-48.5061
1150,-48.6826
1151,-48.3338
1152,-48.2543
1153,-48.8051
1154,-48.2956
1155,-48.7976
1156,-48.6695
1157,-48.8019
1158,-48.4948
1159,-48.8093
1160,-48.403
1161,-48.9793
1162,-48.9062
1163,-48.7589
1164,-48.5789
1165,-48.8599
1166,-49.154
1167,-48.6791
1168,-48.8713
1169,-49.0027
1170,-49.037
1171,-49.0412
1172,-48.7394
1173,-48.9438
1174,-48.8428
1175,-48.275
1176,-49.1691
1177,-49.1336
1178,-48.5987
1179,-49.3526
1180,-49.5972
1181,-48.8936
1182,-48.5644
1183,-49.1207
1184,-49.0676
1185,-48.9499
1186,-49.1011
1187,-49.1019
1188,-48.9173
1189,-48.9177
1190,-49.0331
1191,-48.7738
1192,-49.2189
1193,-48.8112
1194,-48.9381
1195,-48.6968
1196,-49.2947
1197,-48.8892
1198,-48.8351
1199,-49.6087
1200,-49.106
1201,-49.6405
1202,-48.8225
1203,-49.2103
1204,-49.2575
1205,-49.3994
1206,-48.9426
1207,-49.4241
1208,-49.1292
1209,-48.9832
1210,-49.4688
1211,-48.9591
1212,-49.1386
1213,-49.2721
1214,-48.7895
1215,-49.2258
1216,-49.1793
1217,-49.3219
1218,-49.1999
1219,-49.2714
1220,-49.4403
1221,-48.7786
1222,-49.6242
1223,-49.4305
1224,-48.749
1225,-49.4634
1226,-49.3152
1227,-49.2037
1228,-49.7306
1229,-49.7659
1230,-49.6225
1231,-49.9241
1232,-49.3607
1233,-49.5116
1234,-49.4971
1235,-49.1023
1236,-49.5643
1237,-49.7089
1238,-49.6238
1239,-49.461
1240,-49.7237
1241,-49.576
1242,-49.6555
1243,-49.8974
1244,-49.4216
1245,-49.4912
1246,-49.3694
1247,-49.5407
1248,-49.6485
1249,-49.0665
1250,-50.1799
1251,-49.9717
1252,-49.1824
1253,-49.5186
1254,-49.7128
1255,-49.7011
1256,-49.6047
1257,-49.657
1258,-49.1149
1259,-49.6961
1260,-49.5715
1261,-49.9327
1262,-49.5609
1263,-50.1231
1264,-49.5956
1265,-49.3793
1266,-49.7935
1267,-49.4983
1268,-49.5343
1269,-50.0619
1270,-49.6667
1271,-50.2093
1272,-49.7267
1273,-49.4167
1274,-49.7596
1275,-49.8843
1276,-49.8122
1277,-49.6864
1278,-50.3234
1279,-50.0612
1280,-49.9103
1281,-50.0728
1282,-49.8841
1283,-49.6646
1284,-49.9733
1285,-50.1246
1286,-50.0787
1287,-49.7197
1288,-50.3058
1289,-50.0576
1290,-50.3044
1291,-49.7181
1292,-49.7106
1293,-49.9377
1294,-50.1128
1295,-49.9494
1296,-49.8183
1297,-50.0521
1298,-49.8144
1299,-50.2742
1300,-49.7785
1301,-50.0167
1302,-50.3316
1303,-50.0944
1304,-50.3181
1305,-49.9848
1306,-50.0853
1307,-50.1768
1308,-50.3758
1309,-50.4787
1310,-49.9065
1311,-49.9436
1312,-50.5057
1313,-49.9618
1314,-50.4436
1315,-50.2125
1316,-50.2984
1317,-49.925
1318,-50.3108
1319,-50.1707
1320,-49.8207
1321,-50.2747
1322,-50.2781
1323,-50.5446
1324,-50.1975
1325,-50.3004
1326,-50.5551
