Frequency (Hz) - V-in (PSD),Power (dB) - V-in (PSD)
1267,-44.4279
1268,-44.6151
1269,-44.3603
1270,-44.5552
1271,-44.3323
1272,-44.3106
1273,-44.8052
1274,-44.9003
1275,-44.9373
1276,-44.3568
1277,-44.7426
1278,-44.1483
1279,-44.4146
1280,-44.3486
1281,-44.1381
1282,-43.8831
1283,-44.1949
1284,-44.4766
1285,-44.6532
1286,-44.28
1287,-44.028
1288,-44.0322
1289,-44.338
1290,-44.6427
1291,-44.0969
1292,-44.4829
1293,-44.6663
1294,-44.7283
1295,-45.0306
1296,-44.774
1297,-44.1313
1298,-44.3377
1299,-44.2799
1300,-44.1755
1301,-44.3503
1302,-44.0143
1303,-44.2648
1304,-44.0716
1305,-44.7427
1306,-44.4546
1307,-44.5534
1308,-44.1111
1309,-44.5673
1310,-44.3219
1311,-44.3642
1312,-45.0638
1313,-44.6312
1314,-44.1922
1315,-44.2797
1316,-44.4625
1317,-44.3608
1318,-44.2151
1319,-44.1503
1320,-43.9219
1321,-44.6397
1322,-44.7366
1323,-44.3232
1324,-44.8084
1325,-44.2524
1326,-44.3577
1327,-43.7008
1328,-43.9568
1329,-44.4071
1330,-44.4637
1331,-44.308
1332,-44.8392
1333,-43.948
1334,-44.2009
1335,-44.875
1336,-44.6942
1337,-44.3254
1338,-43.9906
1339,-44.9796
1340,-44.0425
1341,-44.5497
1342,-45.0849
1343,-44.6932
1344,-44.361
1345,-44.3415
1346,-44.6483
1347,-44.5595
1348,-44.4899
1349,-44.6808
1350,-44.2298
1351,-44.9119
1352,-44.073
1353,-44.1551
1354,-44.3976
1355,-44.912
1356,-44.5724
1357,-44.4189
1358,-44.6866
1359,-44.3784
1360,-44.2179
1361,-44.4975
1362,-44.7144
1363,-44.4226
1364,-44.5999
1365,-43.8529
1366,-44.6333
1367,-44.7137
1368,-44.4746
1369,-44.806
1370,-44.9145
1371,-44.5839
1372,-44.7903
1373,-44.3574
1374,-44.0792
1375,-43.7109
1376,-44.2915
1377,-44.1972
1378,-44.5475
1379,-44.7681
1380,-44.4227
1381,-44.6377
1382,-44.0584
1383,-44.3002
1384,-44.5353
1385,-44.5255
1386,-44.8945
1387,-44.3825
